date_time,latitude,longitude,location,crime_type
2023-09-10 00:57:00,17.736724,83.176152,Kurmannapalem,Harassment
2023-01-23 09:11:00,17.808265,83.164092,Dwaraka Nagar,Harassment
2023-02-25 04:55:00,17.700026,83.348475,Jagadamba Junction,Burglary
2023-01-28 17:01:00,17.838804,83.222362,Jagadamba Junction,Vandalism
2023-11-17 20:00:00,17.815727,83.179549,Kurmannapalem,Harassment
2023-08-03 23:06:00,17.792574,83.196626,Madhurawada,Chain Snatching
2023-06-06 07:10:00,17.818487,83.299094,Jagadamba Junction,Theft
2023-03-18 17:51:00,17.794447,83.313165,Gajuwaka,Theft
2023-01-29 08:33:00,17.72328,83.231353,Beach Road,Drunk Driving
2023-05-03 06:12:00,17.73866,83.227469,Asilmetta,Theft
2023-12-20 20:48:00,17.736682,83.194899,NAD Junction,Harassment
2023-07-25 02:57:00,17.81879,83.286071,Kancharapalem,Assault
2023-10-20 01:04:00,17.722335,83.213643,NAD Junction,Theft
2023-05-02 15:20:00,17.722429,83.262924,Jagadamba Junction,Chain Snatching
2023-12-29 00:12:00,17.723679,83.183113,Gajuwaka,Theft
2023-09-02 11:06:00,17.822223,83.201894,Madhurawada,Theft
2023-08-06 13:20:00,17.719923,83.251067,Beach Road,Theft
2023-05-19 21:24:00,17.827354,83.250999,Gajuwaka,Theft
2023-05-28 22:44:00,17.709278,83.218217,Beach Road,Chain Snatching
2023-08-19 15:00:00,17.775617,83.248673,Beach Road,Vandalism
2023-11-04 03:59:00,17.774062,83.189355,Asilmetta,Vandalism
2023-05-16 18:49:00,17.72885,83.184254,Madhurawada,Harassment
2023-09-18 22:39:00,17.683859,83.308664,Beach Road,Theft
2023-02-20 15:05:00,17.809445,83.166543,Gopalapatnam,Harassment
2023-03-15 12:37:00,17.778032,83.1603,Asilmetta,Burglary
2023-07-25 12:10:00,17.796197,83.242268,KRM Colony,Harassment
2023-03-31 07:56:00,17.820922,83.341659,Pedda Waltair,Theft
2023-01-30 07:49:00,17.73191,83.237184,PM Palem,Theft
2023-02-07 13:40:00,17.737447,83.276548,NAD Junction,Burglary
2023-10-13 19:14:00,17.709661,83.255882,NAD Junction,Theft
2023-08-08 23:43:00,17.844895,83.176895,PM Palem,Assault
2023-09-10 06:03:00,17.802531,83.246469,Jagadamba Junction,Harassment
2023-06-03 04:42:00,17.76729,83.261118,Seethammadhara,Burglary
2023-10-30 12:35:00,17.72989,83.278145,Jagadamba Junction,Burglary
2023-11-16 09:08:00,17.701881,83.349605,PM Palem,Harassment
