latitude,longitude,date_time,crime_type,safety_level
17.695737,83.250639,2023-12-19 02:55:00,theft,1
17.765635,83.25219,2023-02-10 01:58:00,minor altercation,1
17.729792,83.240323,2023-05-26 20:47:00,minor altercation,1
17.784557,83.282717,2023-10-24 02:17:00,assault,2
17.747142,83.307045,2023-08-26 21:14:00,minor altercation,1
17.777184,83.298761,2023-05-26 22:01:00,None,0
17.763879,83.299026,2023-08-11 01:25:00,theft,1
17.76059,83.292383,2023-11-06 08:51:00,harassment,2
17.746229,83.309393,2023-04-03 04:49:00,None,0
17.771925,83.309144,2023-05-13 06:32:00,harassment,2
17.798365,83.281495,2023-06-21 09:29:00,None,0
17.689324,83.257154,2023-12-11 23:43:00,None,0
17.789857,83.292341,2023-11-02 01:49:00,minor altercation,1
17.761002,83.231781,2023-01-12 10:13:00,minor altercation,1
17.658185,83.334687,2023-07-20 09:41:00,None,0
17.788973,83.258133,2023-12-21 21:03:00,minor altercation,1
17.674084,83.275095,2023-10-24 11:22:00,minor altercation,1
17.667661,83.245739,2023-01-21 16:09:00,minor altercation,1
17.765375,83.323501,2023-09-03 16:26:00,None,0
17.799765,83.266452,2023-12-03 05:34:00,minor altercation,1
17.728475,83.314762,2023-06-30 17:27:00,robbery,2
17.687233,83.253361,2023-03-17 02:45:00,None,0
17.77466,83.262474,2023-02-09 00:36:00,assault,2
17.706897,83.243061,2023-03-09 09:03:00,assault,2
17.743395,83.274774,2023-04-07 16:23:00,None,0
17.748189,83.268431,2023-09-18 17:13:00,minor altercation,1
17.691283,83.238543,2023-03-09 19:17:00,minor altercation,1
17.793872,83.222432,2023-04-11 04:51:00,minor altercation,1
17.656467,83.296729,2023-03-23 21:59:00,theft,1
17.799023,83.235124,2023-01-29 04:32:00,None,0
17.796281,83.250795,2023-03-28 02:23:00,theft,1
17.710626,83.277189,2023-06-15 03:49:00,None,0
17.65826,83.252353,2023-01-26 05:09:00,theft,1
17.661813,83.293893,2023-03-19 21:29:00,assault,2
17.698047,83.212352,2023-06-01 20:12:00,theft,1
17.788621,83.213439,2023-08-09 10:43:00,minor altercation,1
17.668434,83.279594,2023-03-13 00:38:00,harassment,2
17.718389,83.224954,2023-03-17 11:18:00,theft,1
17.672533,83.300091,2023-04-03 21:27:00,harassment,2
17.701532,83.316779,2023-11-10 01:57:00,minor altercation,1
17.677664,83.264663,2023-04-25 06:24:00,assault,2
17.794264,83.302431,2023-07-15 21:20:00,minor altercation,1
17.684408,83.219844,2023-11-19 20:09:00,harassment,2
17.767379,83.235429,2023-07-09 05:16:00,minor altercation,1
17.654649,83.341366,2023-11-11 15:45:00,None,0
17.692522,83.227462,2023-01-25 09:56:00,minor altercation,1
17.771728,83.347329,2023-04-14 13:21:00,theft,1
17.762354,83.207813,2023-02-11 15:01:00,None,0
17.732202,83.214598,2023-04-10 22:54:00,harassment,2
17.773113,83.330214,2023-04-09 08:18:00,assault,2
17.7641,83.277247,2023-06-26 12:08:00,None,0
17.657163,83.295219,2023-04-21 14:44:00,harassment,2
17.756748,83.213954,2023-09-09 01:09:00,None,0
17.697052,83.290931,2023-06-26 23:50:00,None,0
17.723001,83.228485,2023-10-12 21:45:00,None,0
17.742619,83.235216,2023-09-07 17:02:00,None,0
17.734321,83.285175,2023-09-07 09:16:00,minor altercation,1
17.756141,83.315649,2023-10-22 00:32:00,minor altercation,1
17.781561,83.328016,2023-12-31 08:57:00,harassment,2
17.720455,83.203335,2023-05-17 00:44:00,minor altercation,1
17.741613,83.219382,2023-11-17 03:39:00,assault,2
17.672494,83.204156,2023-07-27 07:07:00,theft,1
17.658217,83.230663,2023-04-23 12:38:00,None,0
17.786549,83.252327,2023-09-27 05:16:00,robbery,2
17.692408,83.328941,2023-04-29 09:45:00,None,0
17.796902,83.279342,2023-02-25 18:46:00,theft,1
17.737063,83.316267,2023-09-25 21:53:00,theft,1
17.764466,83.226279,2023-05-18 18:02:00,None,0
17.707786,83.243777,2023-11-03 10:55:00,None,0
17.796262,83.259086,2023-11-09 03:08:00,None,0
17.658644,83.261902,2023-03-15 14:58:00,None,0
17.712724,83.239461,2023-12-30 05:02:00,assault,2
17.775449,83.240545,2023-02-28 00:31:00,robbery,2
17.755994,83.283854,2023-05-09 01:31:00,theft,1
17.666265,83.281095,2023-04-02 20:31:00,minor altercation,1
17.728637,83.236347,2023-10-15 19:47:00,theft,1
17.729668,83.27189,2023-09-16 01:27:00,minor altercation,1
17.706584,83.218786,2023-01-27 12:49:00,robbery,2
17.736371,83.216624,2023-11-18 09:20:00,theft,1
17.727123,83.241772,2023-01-17 10:04:00,None,0
17.796565,83.298724,2023-10-06 05:27:00,robbery,2
17.706524,83.343503,2023-12-06 15:33:00,None,0
17.711979,83.267514,2023-07-11 02:43:00,robbery,2
17.669847,83.340327,2023-09-06 06:34:00,None,0
17.688,83.270043,2023-02-26 22:11:00,theft,1
17.741722,83.248695,2023-03-10 13:57:00,robbery,2
17.689035,83.282936,2023-07-20 20:58:00,harassment,2
17.775054,83.292348,2023-08-01 20:06:00,None,0
17.704085,83.321505,2023-10-10 04:21:00,harassment,2
17.78464,83.2271,2023-03-05 06:42:00,harassment,2
17.715073,83.222285,2023-11-29 10:37:00,harassment,2
17.791171,83.264777,2023-04-27 11:35:00,None,0
17.668937,83.344803,2023-03-19 15:02:00,None,0
17.694303,83.205911,2023-07-03 22:26:00,theft,1
17.7974,83.258263,2023-04-23 18:54:00,None,0
17.773011,83.257707,2023-09-18 13:35:00,minor altercation,1
17.759166,83.299303,2023-04-05 00:08:00,theft,1
17.798663,83.26686,2023-05-22 06:00:00,robbery,2
17.755123,83.239502,2023-09-22 17:00:00,minor altercation,1
17.658041,83.22238,2023-10-23 20:43:00,None,0
17.691245,83.340246,2023-05-14 21:03:00,robbery,2
17.744938,83.264665,2023-03-06 23:09:00,assault,2
17.651653,83.245414,2023-03-03 18:24:00,robbery,2
17.723293,83.303273,2023-06-28 16:45:00,robbery,2
17.725332,83.304679,2023-10-02 09:01:00,None,0
17.708788,83.305702,2023-01-28 02:27:00,minor altercation,1
17.765615,83.200777,2023-08-30 03:43:00,None,0
17.781224,83.304646,2023-09-25 13:23:00,minor altercation,1
17.685346,83.217626,2023-08-03 00:35:00,minor altercation,1
17.702245,83.214643,2023-04-16 16:30:00,None,0
17.694274,83.223518,2023-06-25 07:56:00,theft,1
17.661113,83.303191,2023-09-20 21:49:00,harassment,2
17.675126,83.304258,2023-06-30 09:18:00,minor altercation,1
17.735071,83.256094,2023-07-16 13:12:00,harassment,2
17.740747,83.213393,2023-05-18 23:26:00,None,0
17.795522,83.207553,2023-06-14 07:21:00,minor altercation,1
17.700746,83.260248,2023-09-22 02:05:00,theft,1
17.793712,83.333506,2023-06-23 17:02:00,minor altercation,1
17.701484,83.336525,2023-11-04 02:41:00,harassment,2
17.775572,83.280847,2023-09-08 02:33:00,harassment,2
17.749801,83.312543,2023-07-30 11:55:00,None,0
17.761706,83.305784,2023-07-30 01:20:00,None,0
17.762645,83.315507,2023-12-19 00:57:00,None,0
17.786966,83.201037,2023-03-20 13:07:00,harassment,2
17.796156,83.332189,2023-06-21 00:11:00,robbery,2
17.770692,83.243568,2023-07-22 11:49:00,None,0
17.683767,83.23101,2023-04-20 07:41:00,None,0
17.738961,83.207979,2023-04-22 09:52:00,assault,2
17.742168,83.302102,2023-12-21 21:34:00,theft,1
17.705652,83.342407,2023-03-11 12:29:00,None,0
17.664579,83.333089,2023-06-05 15:07:00,None,0
17.672291,83.219168,2023-02-10 15:19:00,minor altercation,1
17.774478,83.262262,2023-02-05 15:06:00,assault,2
17.667819,83.27336,2023-09-03 21:17:00,assault,2
17.762318,83.251299,2023-02-17 12:43:00,minor altercation,1
17.657591,83.341808,2023-05-07 04:06:00,None,0
17.687967,83.268796,2023-01-02 19:48:00,theft,1
17.67503,83.243325,2023-11-27 05:35:00,None,0
17.786276,83.244603,2023-09-25 12:28:00,None,0
17.68712,83.313211,2023-12-07 06:48:00,None,0
17.668461,83.323739,2023-05-17 20:34:00,harassment,2
17.673655,83.21371,2023-07-10 02:15:00,theft,1
17.699025,83.304665,2023-10-04 18:09:00,minor altercation,1
17.662026,83.334692,2023-04-07 14:05:00,theft,1
17.750979,83.273124,2023-05-26 11:20:00,theft,1
17.724632,83.28272,2023-04-08 16:43:00,minor altercation,1
17.751746,83.279928,2023-08-29 22:34:00,theft,1
17.768859,83.297803,2023-07-15 12:42:00,None,0
17.697011,83.258296,2023-09-08 16:40:00,None,0
17.696072,83.330475,2023-08-05 05:43:00,robbery,2
17.747934,83.332097,2023-10-09 05:26:00,None,0
17.670465,83.23876,2023-04-14 05:17:00,theft,1
17.656984,83.211152,2023-10-18 15:17:00,None,0
17.757158,83.302992,2023-04-13 06:39:00,theft,1
17.753165,83.247385,2023-07-12 20:13:00,theft,1
17.703322,83.309572,2023-11-17 00:52:00,assault,2
17.715015,83.223382,2023-09-16 19:47:00,robbery,2
17.671983,83.263854,2023-07-04 14:06:00,theft,1
17.791039,83.310556,2023-10-03 21:46:00,None,0
17.768593,83.296362,2023-03-10 08:55:00,robbery,2
17.669793,83.318402,2023-08-23 09:36:00,minor altercation,1
17.678435,83.206038,2023-12-30 06:07:00,robbery,2
17.769925,83.280533,2023-02-02 18:06:00,None,0
17.752109,83.204736,2023-07-14 04:52:00,None,0
17.69634,83.266123,2023-11-18 20:02:00,None,0
17.766467,83.261143,2023-03-06 17:15:00,harassment,2
17.74708,83.249299,2023-01-05 04:42:00,theft,1
17.709801,83.227189,2023-12-10 01:38:00,harassment,2
17.798172,83.316131,2023-06-13 18:02:00,assault,2
17.665403,83.289276,2023-10-28 06:06:00,minor altercation,1
17.75744,83.341941,2023-02-22 17:17:00,assault,2
17.663395,83.253293,2023-12-15 10:41:00,None,0
17.695065,83.290482,2023-11-30 19:08:00,None,0
