date_time,latitude,longitude,location,crime_type
2023-01-23 01:32:00,17.728684,83.310917,Dwaraka Nagar,Drunk Driving
2023-11-25 09:23:00,17.73918,83.315475,Maddilapalem,Eve Teasing
2023-12-08 22:04:00,17.735567,83.337299,MVP Colony,Robbery
2023-06-12 10:10:00,17.734185,83.320211,Maddilapalem,Assault
2023-05-02 17:39:00,17.71316,83.297843,Jagadamba,Assault
2023-07-06 02:38:00,17.765826,83.333929,Yendada,Eve Teasing
2023-12-01 15:08:00,17.758774,83.329553,Yendada,Robbery
2023-09-10 12:00:00,17.760283,83.333478,Yendada,Robbery
2023-10-24 20:16:00,17.714861,83.301055,Jagadamba,Theft
2023-11-21 14:59:00,17.73877,83.337114,MVP Colony,Assault
2023-04-23 18:30:00,17.73418,83.314211,Maddilapalem,Vandalism
2023-09-22 08:53:00,17.701467,83.202342,Gajuwaka,Assault
2023-05-30 10:26:00,17.737758,83.320065,Maddilapalem,Drunk Driving
2023-04-10 10:03:00,17.740464,83.309321,Seethammadhara,Eve Teasing
2023-11-21 11:05:00,17.726232,83.315113,Dwaraka Nagar,Drunk Driving
2023-06-14 19:44:00,17.741864,83.336038,MVP Colony,Theft
2023-10-19 00:14:00,17.76661,83.336307,Yendada,Drunk Driving
2023-07-29 13:44:00,17.747329,83.309027,Seethammadhara,Eve Teasing
2023-05-26 21:41:00,17.697774,83.197706,Gajuwaka,Assault
2023-07-30 14:32:00,17.737838,83.311067,Maddilapalem,Cyber Crime
2023-03-11 09:22:00,17.72231,83.316888,Dwaraka Nagar,Theft
2023-05-23 17:22:00,17.765256,83.336401,Yendada,Drunk Driving
2023-11-19 17:05:00,17.741906,83.331826,MVP Colony,Cyber Crime
2023-05-23 20:08:00,17.740503,83.312361,Maddilapalem,Theft
2023-06-10 00:16:00,17.736567,83.319675,Maddilapalem,Vandalism
2023-12-13 22:24:00,17.710486,83.296011,Jagadamba,Assault
2023-04-07 11:45:00,17.745647,83.311111,Seethammadhara,Drunk Driving
